Product Name,(All),,,,,
LF-17185,3930.509,69,16,0.17%,-3583.977,-1.25%
LH-16750,287.426,12,3,0.01%,12.6277,0.00%
LH-16900,2295.332,64,15,0.10%,526.0727,0.18%
LH-17020,318.239,34,6,0.01%,-242.7399,-0.08%
LH-17155,1739.689,44,19,0.08%,316.5202,0.11%
LL-16840,2741.204,50,12,0.12%,560.0078,0.20%
LM-17065,1346.774,32,7,0.06%,-44.878,-0.02%
LO-17170,644.35,34,9,0.03%,150.1712,0.05%
LP-17080,756.606,39,9,0.03%,110.7813,0.04%
LP-17095,3653.399,52,15,0.16%,338.4454,0.12%
LR-16915,5142.892,64,16,0.22%,535.4764,0.19%
LR-17035,1879.306,44,12,0.08%,-382.8079,-0.13%
LS-16945,2845.27,51,14,0.12%,-318.7737,-0.11%
LS-16975,2988.674,63,22,0.13%,262.6367,0.09%
LS-17200,1010.256,54,14,0.04%,244.197,0.09%
LS-17230,368.88,16,6,0.02%,39.1952,0.01%
LS-17245,1008.136,47,12,0.04%,348.3584,0.12%
LT-16765,329.876,8,3,0.01%,59.036,0.02%
LT-17110,2936.252,63,14,0.13%,320.973,0.11%
LW-16825,2238.061,50,15,0.10%,32.5767,0.01%
LW-16990,3230.308,38,11,0.14%,662.8339,0.23%
LW-17125,1259.04,15,5,0.05%,192.6312,0.07%
LW-17215,5420.514,59,15,0.24%,837.2411,0.29%
MA-17560,4299.161,117,34,0.19%,1240.2266,0.43%
MA-17995,2453.284,42,12,0.11%,280.7822,0.10%
MB-17305,1548.702,63,19,0.07%,212.425,0.07%
MB-18085,1428.231,39,10,0.06%,117.8057,0.04%
MC-17275,2725.982,54,13,0.12%,461.0014,0.16%
MC-17425,4432.138,48,10,0.19%,1802.3903,0.63%
MC-17575,1303.893,40,11,0.06%,210.7493,0.07%
MC-17590,2426.067,47,17,0.11%,288.9841,0.10%
MC-17605,2258.192,60,18,0.10%,195.4486,0.07%
MC-17635,795.154,33,8,0.03%,-247.9435,-0.09%
MC-17845,3805.714,45,14,0.17%,698.4174,0.24%
MC-18100,2218.98,73,19,0.10%,-64.1668,-0.02%
MC-18130,1581.998,34,11,0.07%,121.7565,0.04%
MD-17350,3766.382,64,17,0.16%,-241.95,-0.08%
MD-17860,1204.91,45,8,0.05%,-4.0403,0.00%
ME-17320,10663.728,82,22,0.46%,1859.4695,0.65%
ME-17725,1908.4532,46,13,0.08%,77.8128,0.03%
ME-18010,1256.944,15,6,0.05%,107.3604,0.04%
MF-17665,937.039,36,8,0.04%,-341.5265,-0.12%
MF-18250,1758.3,38,12,0.08%,456.8608,0.16%
MG-17650,3785.276,57,14,0.16%,341.898,0.12%
MG-17680,2350.188,25,10,0.10%,25.8886,0.01%
MG-17695,1342.282,23,7,0.06%,-398.7932,-0.14%
MG-17875,1242.833,23,7,0.05%,-470.7684,-0.16%
MG-17890,776.384,35,13,0.03%,171.7372,0.06%
MG-18145,3061.543,42,8,0.13%,-93.603,-0.03%
MG-18205,16.739,8,2,0.00%,-1.2453,0.00%
MH-17290,2394.025,55,13,0.10%,28.7612,0.01%
MH-17440,400.016,25,9,0.02%,61.4286,0.02%
MH-17455,2456.182,45,11,0.11%,484.7733,0.17%
MH-17620,1252.8,19,6,0.05%,122.3612,0.04%
MH-17785,2203.778,42,11,0.10%,238.5614,0.08%
MH-18025,2984.948,31,10,0.13%,476.9032,0.17%
MH-18115,5503.093,79,22,0.24%,170.9746,0.06%
MJ-17740,6320.746,50,15,0.28%,1054.5529,0.37%
MK-17905,2302.368,73,17,0.10%,-405.3559,-0.14%
MK-18160,1031.602,43,11,0.04%,227.8338,0.08%
ML-17395,2722.843,72,20,0.12%,684.9162,0.24%
ML-17410,2921.5,51,15,0.13%,-76.1755,-0.03%
ML-17755,2071.914,53,13,0.09%,409.5112,0.14%
ML-18040,742.082,18,4,0.03%,138.7162,0.05%
ML-18265,162.232,7,3,0.01%,42.6648,0.01%
MM-17260,1314.023,17,6,0.06%,178.402,0.06%
MM-17920,3794.08,68,16,0.17%,82.125,0.03%
MM-18055,2749.881,73,19,0.12%,-520.3443,-0.18%
MM-18280,775.414,32,12,0.03%,58.8916,0.02%
MN-17935,2477.946,36,10,0.11%,290.8227,0.10%
MO-17500,922.487,15,5,0.04%,59.3577,0.02%
MO-17800,1687.027,49,11,0.07%,169.3437,0.06%
MO-17950,154.288,14,4,0.01%,-82.0074,-0.03%
MP-17470,3206.132,77,14,0.14%,600.2873,0.21%
MP-17965,3983.642,62,20,0.17%,638.1563,0.22%
MP-18175,5087.92,78,19,0.22%,226.4529,0.08%
MR-17545,639.178,29,6,0.03%,162.9363,0.06%
MS-17365,7443.69,105,24,0.32%,844.9355,0.30%
MS-17530,475.656,21,7,0.02%,84.0268,0.03%
MS-17710,1613.402,48,15,0.07%,247.4348,0.09%
MS-17770,3144.678,73,19,0.14%,280.8584,0.10%
MS-17830,370.348,14,5,0.02%,19.4312,0.01%
MS-17980,855.116,49,11,0.04%,55.226,0.02%
MT-17815,2890.139,31,10,0.13%,509.0068,0.18%
MT-18070,1319.4498,44,11,0.06%,-23.6763,-0.01%
MV-17485,1560.05,52,15,0.07%,189.0258,0.07%
MV-18190,1734.574,37,11,0.08%,273.8582,0.10%
MW-18220,5341.9,51,14,0.23%,1238.422,0.43%
MW-18235,5253.876,13,3,0.23%,1665.516,0.58%
MY-17380,2254.285,49,13,0.10%,319.1211,0.11%
MY-18295,4152.696,89,21,0.18%,-371.7111,-0.13%
MZ-17335,593.606,11,6,0.03%,85.0191,0.03%
MZ-17515,2564.906,39,10,0.11%,787.7503,0.28%
NB-18580,273.872,7,2,0.01%,24.7888,0.01%
NB-18655,1972.599,64,17,0.09%,117.6429,0.04%
NC-18340,2461.404,54,17,0.11%,580.3075,0.20%
NC-18415,2218.99,38,14,0.10%,-2204.8072,-0.77%
NC-18535,8241.739,64,15,0.36%,1314.758,0.46%
NC-18625,1821.742,29,9,0.08%,-359.021,-0.13%
ND-18370,4326.139,63,18,0.19%,353.6455,0.12%
ND-18460,2893.455,36,8,0.13%,443.3368,0.15%
NF-18385,8322.826,52,14,0.36%,-1695.9714,-0.59%
NF-18475,377.162,13,4,0.02%,85.9278,0.03%
NF-18595,2031.472,55,12,0.09%,388.2131,0.14%
NG-18355,1869.58,45,16,0.08%,313.6335,0.11%
NG-18430,1395.938,41,9,0.06%,217.0893,0.08%
NH-18610,2673.29,52,11,0.12%,760.1666,0.27%
NK-18490,572.048,51,11,0.02%,121.2177,0.04%
NL-18310,1418.09,44,10,0.06%,343.6381,0.12%
NM-18445,6459.344,44,14,0.28%,2751.6849,0.96%
NM-18520,2161.979,60,15,0.09%,788.9525,0.28%
NP-18325,5529.62,77,21,0.24%,1208.889,0.42%
NP-18670,3908.402,46,10,0.17%,514.6002,0.18%
NP-18685,1228.698,23,7,0.05%,514.5017,0.18%
NP-18700,7903.1825,63,13,0.34%,631.2282,0.22%
NR-18550,2367.277,37,13,0.10%,-25.1488,-0.01%
NS-18505,2575.863,52,15,0.11%,-12.304,0.00%
NS-18640,2964.823,113,26,0.13%,-234.7714,-0.08%
NW-18400,7234.014,78,22,0.31%,1023.123,0.36%
NZ-18565,2488.31,77,20,0.11%,402.4236,0.14%
ON-18715,1567.52,58,15,0.07%,-5.889,0.00%
OT-18730,3818.624,51,10,0.17%,-925.1203,-0.32%
PA-19060,729.408,27,7,0.03%,225.8588,0.08%
PB-18805,740.356,54,10,0.03%,229.2257,0.08%
PB-19105,688.324,18,5,0.03%,218.1597,0.08%
PB-19150,1456.95,54,11,0.06%,280.6606,0.10%
PB-19210,132.738,10,2,0.01%,21.897,0.01%
PC-18745,1832.064,22,5,0.08%,272.685,0.10%
PC-19000,1061.488,18,3,0.05%,-184.3364,-0.06%
PF-19120,9062.864,75,19,0.39%,-614.2943,-0.21%
PF-19165,2770,34,10,0.12%,196.8739,0.07%
PF-19225,2206.128,32,10,0.10%,591.3118,0.21%
PG-18820,3086.907,83,26,0.13%,137.4613,0.05%
PG-18895,1987.164,61,17,0.09%,334.5163,0.12%
PH-18790,729.648,6,2,0.03%,47.8878,0.02%
PJ-18835,1220.09,46,13,0.05%,442.1355,0.15%
PJ-19015,1824.234,25,10,0.08%,682.9979,0.24%
PK-18910,1441.152,14,3,0.06%,-798.705,-0.28%
PK-19075,8646.934,107,25,0.38%,2038.2676,0.71%
PL-18925,239.481,29,8,0.01%,-0.7527,0.00%
PM-18940,1405.402,16,4,0.06%,157.8768,0.06%
PM-19135,4115.662,36,7,0.18%,526.7537,0.18%
PN-18775,1467.152,47,13,0.06%,192.0396,0.07%
PO-18850,7473.8282,91,22,0.33%,38.4757,0.01%
PO-18865,2493.214,54,13,0.11%,437.8533,0.15%
PO-19180,4893.043,65,18,0.21%,1155.4331,0.40%
PO-19195,1056.858,32,10,0.05%,-49.7009,-0.02%
PP-18955,7252.608,138,34,0.32%,1495.0854,0.52%
PR-18880,1840.178,43,12,0.08%,247.6226,0.09%
PS-18760,2181.479,75,21,0.09%,-134.441,-0.05%
PS-18970,1278.639,52,13,0.06%,198.5099,0.07%
PS-19045,6843.634,47,13,0.30%,1742.7297,0.61%
PT-19090,160.572,19,7,0.01%,-20.0508,-0.01%
PV-18985,2876.046,52,13,0.13%,434.5284,0.15%
PW-19030,3454.916,48,13,0.15%,803.8169,0.28%
PW-19240,3922.415,39,12,0.17%,1290.354,0.45%
QJ-19255,6108.338,61,13,0.27%,1203.6768,0.42%
RA-19285,2617.906,58,17,0.11%,546.0882,0.19%
RA-19885,3832.314,53,15,0.17%,1292.8656,0.45%
RA-19915,4793.543,75,22,0.21%,304.8673,0.11%
RA-19945,1686.9225,27,9,0.07%,-445.695,-0.16%
RB-19330,1008.196,16,6,0.04%,-164.4062,-0.06%
RB-19360,15117.339,71,18,0.66%,6976.0959,2.44%
RB-19435,2663.086,66,16,0.12%,477.2399,0.17%
RB-19465,4715.466,85,23,0.21%,640.5466,0.22%
RB-19570,528.546,35,9,0.02%,76.8879,0.03%
RB-19645,221.084,29,7,0.01%,72.679,0.03%
RB-19705,2067.45,22,7,0.09%,243.0755,0.08%
RB-19795,5633.316,92,18,0.25%,-461.7332,-0.16%
RC-19825,966.409,29,10,0.04%,63.9914,0.02%
RC-19960,885.752,44,11,0.04%,10.5633,0.00%
RD-19480,4272.93,60,15,0.19%,480.594,0.17%
RD-19585,2912.894,73,19,0.13%,734.5158,0.26%
RD-19660,2786.632,23,5,0.12%,835.772,0.29%
RD-19720,1419.737,78,20,0.06%,207.3304,0.07%
RD-19810,1137.616,63,16,0.05%,318.4625,0.11%
RD-19900,3133.924,85,21,0.14%,455.5292,0.16%
RD-19930,970.942,33,10,0.04%,35.0574,0.01%
RE-19405,48.36,5,1,0.00%,6.045,0.00%
RE-19450,876.696,47,9,0.04%,209.2294,0.07%
RF-19345,3309.15,67,16,0.14%,633.7072,0.22%
RF-19735,2341.296,53,14,0.10%,711.6168,0.25%
RF-19840,945.222,45,11,0.04%,280.0261,0.10%
RH-19495,3621.376,38,8,0.16%,563.7877,0.20%
RH-19510,6979.18,43,12,0.30%,1289.4535,0.45%
RH-19555,740.382,11,3,0.03%,0.3057,0.00%
RH-19600,2085.74,43,11,0.09%,172.6261,0.06%
RK-19300,1460.192,29,8,0.06%,269.688,0.09%
RL-19615,6234.91,101,24,0.27%,488.1484,0.17%
RM-19375,1453.474,29,9,0.06%,392.1499,0.14%
RM-19675,5979.096,39,11,0.26%,1902.5438,0.66%
RM-19750,98.35,4,2,0.00%,28.6879,0.01%
RO-19780,3815.478,48,12,0.17%,-1262.5716,-0.44%
RP-19270,954.6452,47,12,0.04%,59.5384,0.02%
RP-19390,5153.084,88,25,0.22%,465.2503,0.16%
RP-19855,2170.716,61,15,0.09%,594.5868,0.21%
RR-19315,615.932,7,4,0.03%,-73.835,-0.03%
RR-19525,3302.262,36,10,0.14%,721.6826,0.25%
RS-19420,3221.29,29,9,0.14%,633.4514,0.22%
RS-19765,4159.77,54,14,0.18%,1206.3851,0.42%
RS-19870,22.328,10,3,0.00%,9.5838,0.00%
RW-19540,7397.401,89,23,0.32%,1586.6273,0.55%
RW-19630,3279.746,53,16,0.14%,698.8325,0.24%
RW-19690,3495.646,61,15,0.15%,707.5503,0.25%
SA-20830,4767.3415,75,21,0.21%,610.1496,0.21%
SB-20170,1348.02,24,7,0.06%,157.6658,0.06%
SB-20185,6410.996,45,12,0.28%,885.4624,0.31%
SB-20290,8057.891,84,17,0.35%,-2082.7451,-0.73%
SC-20020,3362.9636,62,17,0.15%,-317.0508,-0.11%
SC-20050,4624.572,61,15,0.20%,1011.7443,0.35%
SC-20095,14142.334,87,22,0.62%,5757.4119,2.01%
SC-20230,4371.958,49,11,0.19%,440.141,0.15%
SC-20260,3729.793,63,18,0.16%,671.0034,0.23%
SC-20305,3979.065,64,12,0.17%,229.1617,0.08%
SC-20380,5992.536,80,20,0.26%,236.6615,0.08%
SC-20440,1874.998,44,10,0.08%,379.5611,0.13%
SC-20575,902.728,30,7,0.04%,100.2253,0.03%
SC-20680,1254.64,26,8,0.05%,370.1578,0.13%
SC-20695,2576.408,66,14,0.11%,611.8291,0.21%
SC-20725,5226.21,133,26,0.23%,1276.6513,0.45%
SC-20770,4492.657,75,21,0.20%,-671.1874,-0.23%
SC-20800,279.256,11,5,0.01%,51.8252,0.02%
SC-20845,280.632,13,4,0.01%,31.1757,0.01%
SD-20485,6121.114,82,21,0.27%,1985.1672,0.69%
SE-20110,12209.438,78,19,0.53%,2650.6769,0.93%
SF-20065,763.546,35,9,0.03%,228.1623,0.08%
SF-20200,3422.786,74,15,0.15%,286.9046,0.10%
SF-20965,3336.535,66,17,0.15%,539.9352,0.19%
SG-20080,3406.581,30,11,0.15%,570.438,0.20%
SG-20470,1884.798,62,14,0.08%,-119.0105,-0.04%
SG-20605,3124.832,49,13,0.14%,463.269,0.16%
SG-20890,47.946,17,5,0.00%,-3.7073,0.00%
SH-19975,3406.8395,113,29,0.15%,558.474,0.19%
SH-20395,2180.718,45,15,0.09%,-144.5229,-0.05%
SH-20635,2096.392,16,2,0.09%,260.6258,0.09%
SJ-20125,3949.656,104,24,0.17%,144.1189,0.05%
SJ-20215,1341.036,35,10,0.06%,-23.5137,-0.01%
SJ-20500,1318.776,30,7,0.06%,68.0963,0.02%
SK-19990,883.409,19,5,0.04%,168.7933,0.06%
SL-20155,3053.012,30,9,0.13%,527.9715,0.18%
SM-20005,244.494,26,6,0.01%,-26.5927,-0.01%
SM-20320,25043.05,50,15,1.09%,-1980.7393,-0.69%
SM-20905,1043.041,20,6,0.05%,-237.2885,-0.08%
SM-20950,5563.392,94,22,0.24%,581.5742,0.20%
SN-20560,1860.418,67,15,0.08%,-716.8565,-0.25%
SN-20710,3127.9592,89,19,0.14%,481.7499,0.17%
SO-20335,2602.5755,52,15,0.11%,-81.0858,-0.03%
SP-20545,1306.086,43,10,0.06%,-118.7757,-0.04%
SP-20620,5440.319,77,24,0.24%,-270.4282,-0.09%
SP-20650,1872.436,71,15,0.08%,268.4782,0.09%
SP-20860,4282.94,80,24,0.19%,566.7226,0.20%
SP-20920,3990.689,57,14,0.17%,14.6924,0.01%
SR-20425,3233.481,34,9,0.14%,-3333.9144,-1.16%
SR-20740,4345.886,50,12,0.19%,1990.4244,0.69%
SS-20140,1324.028,86,21,0.06%,332.3487,0.12%
SS-20410,3056.807,46,12,0.13%,-1010.9738,-0.35%
SS-20515,613.4,36,6,0.03%,199.9345,0.07%
SS-20590,418.49,17,9,0.02%,135.5401,0.05%
SS-20875,964.636,39,15,0.04%,-75.586,-0.03%
ST-20530,433.34,33,12,0.02%,84.4419,0.03%
SU-20665,2595.364,61,18,0.11%,763.4719,0.27%
SV-20365,11470.95,109,32,0.50%,1199.4242,0.42%
SV-20785,4105.305,91,25,0.18%,485.0272,0.17%
SV-20815,1271.09,24,6,0.06%,199.6502,0.07%
SV-20935,1903.491,66,13,0.08%,106.8912,0.04%
SW-20245,1085.078,33,10,0.05%,-19.6062,-0.01%
SW-20275,1966.65,28,7,0.09%,332.8725,0.12%
SW-20350,1019.044,25,6,0.04%,95.8383,0.03%
SW-20455,2921.544,18,9,0.13%,793.6548,0.28%
SW-20755,758.696,27,8,0.03%,68.2416,0.02%
SZ-20035,3625.329,69,20,0.16%,366.4303,0.13%
TA-21385,14595.62,36,10,0.64%,4703.7883,1.64%
TB-21055,1467.881,66,18,0.06%,390.2113,0.14%
TB-21175,3589.296,36,11,0.16%,829.1635,0.29%
TB-21190,816.174,23,4,0.04%,179.0038,0.06%
TB-21250,1602.376,74,19,0.07%,260.6155,0.09%
TB-21280,2198.45,35,11,0.10%,490.9567,0.17%
TB-21355,834.328,44,13,0.04%,268.967,0.09%
TB-21400,9133.99,55,17,0.40%,2798.3689,0.98%
TB-21520,4737.486,85,20,0.21%,-1603.0451,-0.56%
TB-21595,1387.559,29,7,0.06%,-136.4091,-0.05%
TB-21625,2797.668,60,15,0.12%,379.882,0.13%
TC-20980,19052.218,42,12,0.83%,8981.3239,3.14%
TC-21145,1038.26,17,4,0.05%,265.5332,0.09%
TC-21295,4266.812,63,16,0.19%,606.3727,0.21%
TC-21475,1244.976,45,11,0.05%,119.104,0.04%
TC-21535,742.558,28,10,0.03%,217.933,0.08%
TD-20995,1434.548,67,16,0.06%,88.1897,0.03%
TG-21310,3058.372,30,9,0.13%,682.1704,0.24%
TG-21640,2074.661,50,10,0.09%,365.7205,0.13%
TH-21100,2422.824,29,7,0.11%,-135.2125,-0.05%
TH-21115,2942.772,29,9,0.13%,-252.5539,-0.09%
TH-21235,1022.201,40,13,0.04%,92.729,0.03%
TH-21550,4234.096,44,13,0.18%,-571.9678,-0.20%
TM-21010,2955.226,67,19,0.13%,573.3013,0.20%
TM-21490,1094.678,12,4,0.05%,292.521,0.10%
TN-21040,3130.221,48,12,0.14%,-692.0452,-0.24%
TP-21130,4454.056,55,16,0.19%,1129.1261,0.39%
TP-21415,5329.0048,39,10,0.23%,-1087.3898,-0.38%
TP-21565,1936.64,48,10,0.08%,139.2287,0.05%
TR-21325,675.942,22,7,0.03%,220.3644,0.08%
TS-21085,4.833,4,2,0.00%,-3.3156,0.00%
TS-21160,2163.624,60,17,0.09%,260.8744,0.09%
TS-21205,5371.09,67,19,0.23%,862.8877,0.30%
TS-21340,974.782,51,12,0.04%,-184.9789,-0.06%
TS-21370,11891.751,59,15,0.52%,2371.7144,0.83%
TS-21430,2054.14,31,7,0.09%,48.7017,0.02%
TS-21505,2243.274,54,14,0.10%,11.3779,0.00%
TS-21610,2820.424,44,11,0.12%,-294.6981,-0.10%
TS-21655,3368.094,52,14,0.15%,220.9163,0.08%
TT-21070,4915.602,66,14,0.21%,751.9567,0.26%
TT-21220,1427.044,55,15,0.06%,278.7371,0.10%
TT-21265,439.5,8,3,0.02%,93.9162,0.03%
TT-21460,5364.808,48,14,0.23%,1124.4999,0.39%
TW-21025,5278.826,57,12,0.23%,737.3905,0.26%
TZ-21580,1707.286,30,9,0.07%,224.8887,0.08%
VB-21745,2005.596,37,10,0.09%,371.2398,0.13%
VD-21670,6442.254,71,16,0.28%,1617.7874,0.56%
VF-21715,847.944,35,11,0.04%,-96.278,-0.03%
VG-21790,846.01,32,8,0.04%,143.6268,0.05%
VG-21805,427.372,16,6,0.02%,-52.333,-0.02%
VM-21685,2454.866,37,12,0.11%,513.5269,0.18%
VM-21835,380.69,25,8,0.02%,116.6373,0.04%
VP-21730,993.902,18,5,0.04%,205.3888,0.07%
VP-21760,3360.526,65,14,0.15%,-1018.7768,-0.36%
VS-21820,1055.981,38,8,0.05%,-262.8093,-0.09%
VT-21700,1736.596,42,9,0.08%,-224.0889,-0.08%
VW-21775,6134.038,77,18,0.27%,-874.6645,-0.31%
WB-21850,6160.102,146,37,0.27%,714.3311,0.25%
XP-21865,2374.658,100,28,0.10%,621.23,0.22%
YC-21895,5454.35,31,8,0.24%,1305.629,0.46%
YS-21880,6720.444,58,12,0.29%,1778.2923,0.62%
ZC-21910,8025.707,105,31,0.35%,-1032.149,-0.36%
ZD-21925,1493.944,32,9,0.07%,249.1307,0.09%
Grand Total,2297200.86,37873,9994,100.00%,286397.0217,100.00%
